,Agricultural Land( %),Co2-Emissions per ton,CPI,GDP,Population,Infant mortality,Minimum wage,Unemployment rate,Population: Labor force participation (%),temperature,ideal temperature?,Precipitation Depth (mm/year),Gini's index,GDP per capita,Human Development Index (2021),Prevalence of moderate or severe food insecurity in the total population (percent) (2022),Country
99,0.472,12963.0,118.38,54219315600.0,2786844.0,3.3,2.41,0.0635,0.616,7.1,0.0,656.0,36.0,19455.45412660343,0.875,10.3,Lithuania
100,0.537,8988.0,115.09,71104919108.0,645397.0,1.9,13.05,0.0536,0.593,11.01,0.0,934.0,33.4,110172.37314087298,0.93,3.6,Luxembourg
101,0.712,3905.0,184.33,14083906357.0,26969307.0,38.2,0.21,0.0176,0.861,23.5,1.0,1513.0,42.6,522.219809244635,0.501,67.3,Madagascar
102,0.614,1298.0,418.34,7666704427.0,18628747.0,35.3,0.12,0.0565,0.767,24.66,1.0,1181.0,38.5,411.5523404231106,0.512,83.8,Malawi
103,0.263,248289.0,121.46,364701517788.0,32447385.0,6.7,0.93,0.0332,0.643,26.14,1.0,2875.0,41.2,11239.78150436468,0.803,18.3,Malaysia
104,0.263,1445.0,99.7,5729248472.0,530953.0,7.4,1.7806707890871767,0.0614,0.698,18.82802805273615,0.0,1972.0,29.3,10790.500236367438,0.747,15.9,Maldives
105,0.338,3179.0,108.73,17510141171.0,19658031.0,62.0,0.23,0.0722,0.708,24.899786818457834,0.0,282.0,36.0,890.7372854890706,0.428,73.9852045397032,Mali
106,0.324,1342.0,113.45,14786156563.0,502653.0,6.1,5.07,0.0347,0.565,19.43,0.0,560.0,31.4,29416.230606402427,0.918,8.6,Malta
107,0.639,143.0,196.37347505217457,221278000.0,58791.0,27.4,2.0,0.0721037440573806,0.6209196977157075,21.962952088277994,0.0,1173.5527707541612,35.5,3763.8073854841728,0.639,43.89773225942765,Marshall Islands
108,0.385,2739.0,135.02,7593752450.0,4525696.0,51.5,0.53,0.0955,0.459,21.628813380421228,0.0,92.0,32.6,1677.9192526409197,0.556,55.6,Mauritania
109,0.424,4349.0,129.91,14180444557.0,1265711.0,13.6,0.38,0.0667,0.583,25.0,1.0,2041.0,36.8,11203.540584699034,0.802,35.1,Mauritius
110,0.546,486406.0,141.54,1258286717125.0,126014024.0,11.0,0.49,0.0342,0.607,21.06,1.0,758.0,45.4,9985.29113811174,0.758,28.5,Mexico
111,0.314,143.0,112.1,401932279.0,113815.0,25.6,1.1402911100961055,0.0772693547462473,0.6221900422827515,21.737998035491074,0.0,1173.6475045981535,37.82840858062565,3531.452611694416,0.628,43.89168807871825,Federated States of Micronesia
112,0.742,5115.0,166.2,11955435457.0,2657637.0,13.6,0.31,0.0547,0.431,11.23,0.0,450.0,25.7,4498.520850289186,0.767,25.9,Moldova
113,0.06128464806815087,-33320.76258618046,127.47714470377566,7184844193.0,38964.0,2.6,11.72,-0.051420577021438804,0.7722095414593685,0.9276159539264679,0.0,1146.8969107183623,19.505496169094176,184396.98678267119,1.146429924513913,-26.5216575451032,Monaco
114,0.715,25368.0,195.76,13852850259.0,3225167.0,14.0,0.65,0.0601,0.597,3.04,0.0,241.0,32.7,4295.235024728952,0.739,6.5,Mongolia
115,0.19,2017.0,116.32,5494736901.0,622137.0,2.3,1.23,0.1488,0.544,14.31,0.0,1172.5907958615057,36.8,8832.036835938065,0.832,15.4,Montenegro
116,0.685,61276.0,111.07,118725279596.0,36910560.0,19.2,1.6,0.0902,0.453,19.96,0.0,346.0,39.5,3216.5667385160236,0.683,37.225763801036685,Morocco
117,0.635,7943.0,182.31,14934159926.0,30366036.0,54.0,0.27,0.0324,0.781,25.22,1.0,1032.0,50.5,491.80472307942995,0.446,79.2,Mozambique
118,0.195,25280.0,168.18,76085852617.0,54045420.0,36.8,0.39,0.0158,0.617,24.04,1.0,2091.0,30.7,1407.8131434078966,0.585,32.8,Myanmar
119,0.471,4228.0,157.97,12366527719.0,2494530.0,29.0,1.4624620410388987,0.2027,0.595,25.35,1.0,285.0,59.1,4957.458005716508,0.615,60.1,Namibia
120,0.3865518669771413,-35211.71307385443,192.29372087817603,133000000.0,10084.0,20.78889614423189,2.195943544578584,0.06445415701310872,0.6202378724338155,20.155688973588383,0.0,1182.2964330592215,32.4,13189.210630702102,0.7242601173056824,34.28567518965759,Nauru
